　,PU,*,*,　
舞台,NN,*,*,舞台
舞厅,NN,*,*,舞厅
舞团,NN,*,*,舞团
舞者,NN,*,*,舞者
伍,NR,PER,FAM,伍
侮辱,NN,*,*,侮辱
雾,NN,*,*,雾
雾林带,NN,*,*,雾林带
雾气,NN,*,*,雾气
雾社,NR,OTH,*,雾社
物,NN,*,*,物
物换星移,VV,*,*,物换星移
物价,NN,*,*,物价
物理,NN,*,*,物理
物理学,NN,*,*,物理学
物理学家,NN,*,*,物理学家
物力,NN,*,*,物力
物流,NN,*,*,物流
物美价廉,VV,*,*,物美价廉
物品,NN,*,*,物品
物业,NN,*,*,物业
物以类聚,VV,*,*,物以类聚
物质,NN,*,*,物质
物种,NN,*,*,物种
物资,NN,*,*,物资
勿,AD,*,*,勿
务,VV,*,*,务
务必,AD,*,*,务必
务实,JJ,*,*,务实
务实,VA,*,*,务实
务实,VV,*,*,务实
务实派,NN,*,*,务实派
悟,VV,*,*,悟
悟出,VV,*,*,悟出
误,NN,*,*,误
误,VV,*,*,误
误差,NN,*,*,误差
误导,NN,*,*,误导
误导,VA,*,*,误导
误导,VV,*,*,误导
误会,NN,*,*,误会
误解,NN,*,*,误解
误解,VV,*,*,误解
误判,VV,*,*,误判
误区,NN,*,*,误区
误入,VV,*,*,误入
误杀,VV,*,*,误杀
昔称,VV,*,*,昔称
昔日,AD,*,*,昔日
昔日,NT,NOR,*,昔日
昔时,NT,NOR,*,昔时
昔阳县,NR,LOC,*,昔阳县
熙来攘往,VV,*,*,熙来攘往
西,AD,*,*,西
西,NN,*,*,西
西,NR,LOC,*,西
西,NR,LOC,SP,西
西安,NR,LOC,*,西安
西安市,NR,LOC,*,西安市
西岸,NN,*,*,西岸
西班牙,NR,LOC,*,西班牙
西班牙人,NN,*,*,西班牙人
西班牙语,NN,*,*,西班牙语
西北,NN,*,*,西北
西北,NR,LOC,*,西北
西北部,NN,*,*,西北部
西北端,NN,*,*,西北端
西北方,NN,*,*,西北方
西边,NN,*,*,西边
西部,NN,*,*,西部
西餐,NN,*,*,西餐
西藏,NR,LOC,*,西藏
西侧,NN,*,*,西侧
西场,NR,OTH,*,西场
西成,NR,LOC,*,西成
西德,NR,LOC,*,西德
西方,NN,*,*,西方
西非,NR,LOC,*,西非
西服,NN,*,*,西服
西格朗姆,NR,ORG,*,西格朗姆
西瓜,NN,*,*,西瓜
西哈努克,NR,PER,FOR,西哈努克
西海岸,NN,*,*,西海岸
西汉,NR,OTH,*,西汉
西花菜,NN,*,*,西花菜
西化,NN,*,*,西化
西江,NR,ORG,*,西江
西来寺,NR,LOC,*,西来寺
西陵,NR,LOC,*,西陵
西岭,NR,LOC,*,西岭
西门子,NR,ORG,*,西门子
西门町,NR,LOC,*,西门町
西蒙·佩雷斯,NR,PER,FOR,西蒙·佩雷斯
西面,NN,*,*,西面
西南,NN,*,*,西南
西南郊,NN,*,*,西南郊
西南局,NN,*,*,西南局
西宁,NR,LOC,*,西宁
西宁市,NR,LOC,*,西宁市
西欧,NR,LOC,*,西欧
西芹菜,NN,*,*,西芹菜
西萨摩亚,NR,LOC,*,西萨摩亚
西沙岛,NR,LOC,*,西沙岛
西商,NR,ORG,*,西商
西生菜,NN,*,*,西生菜
西式,JJ,*,*,西式
西唐刚,NR,PER,FOR,西唐刚
西天,NN,*,*,西天
西田信,NR,ORG,*,西田信
西屋,NR,ORG,*,西屋
西西,M,*,*,西西
西西南,NN,*,*,西西南
西峡,NR,LOC,*,西峡
西峡县,NR,LOC,*,西峡县
西线,NN,*,*,西线
西行线,NN,*,*,西行线
西学,NN,*,*,西学
西雅图,NR,LOC,*,西雅图
西亚,NR,LOC,*,西亚
西亚那,NR,ORG,*,西亚那
西谚,NN,*,*,西谚
西洋,NN,*,*,西洋
西医院,NN,*,*,西医院
西移,VV,*,*,西移
西元,JJ,*,*,西元
西岳,NN,*,*,西岳
西站,NN,*,*,西站
西装,NN,*,*,西装
西装革履,NN,*,*,西装革履
西装套,NN,*,*,西装套
矽,NN,*,*,矽
矽岛,NN,*,*,矽岛
矽谷,NR,LOC,*,矽谷
嘻笑,VV,*,*,嘻笑
吸,VV,*,*,吸
吸尘器,NN,*,*,吸尘器
吸附,NN,*,*,吸附
吸附,VV,*,*,吸附
吸纳,VV,*,*,吸纳
吸取,VV,*,*,吸取
吸入,VV,*,*,吸入
吸上,VV,*,*,吸上
吸湿,JJ,*,*,吸湿
吸收,NN,*,*,吸收
吸收,VV,*,*,吸收
吸烟,NN,*,*,吸烟
吸音,NN,*,*,吸音
吸引,VV,*,*,吸引
吸引力,NN,*,*,吸引力
吸引人,VA,*,*,吸引人
锡,NN,*,*,锡
锡恩,NR,PER,GIV,锡恩
锡国,NR,PER,GIV,锡国
锡昆,NR,PER,GIV,锡昆
锡梅,NR,PER,GIV,锡梅
锡权,NR,PER,GIV,锡权
锡生,NR,PER,GIV,锡生
牺牲,NN,*,*,牺牲
牺牲,VV,*,*,牺牲
稀,VV,*,*,稀
稀薄,VA,*,*,稀薄
稀罕,JJ,*,*,稀罕
稀奇,VA,*,*,稀奇
稀少,VA,*,*,稀少
稀释,NN,*,*,稀释
稀土,NN,*,*,稀土
稀有,JJ,*,*,稀有
息,NN,*,*,息
息息相关,VV,*,*,息息相关
希,NR,LOC,*,希
希,VV,*,*,希
希德,NR,PER,GIV,希德
希尔德·格尔格,NR,PER,FOR,希尔德·格尔格
希夫香卡尔·梅农,NR,PER,FOR,希夫香卡尔·梅农
希光,NR,PER,GIV,希光
希冀,VV,*,*,希冀
希拉克,NR,PER,FOR,希拉克
希腊,NR,LOC,*,希腊
希腊籍,JJ,*,*,希腊籍
希腊文,NN,*,*,希腊文
希腊族,NN,*,*,希腊族
希里蒙空,NR,PER,FOR,希里蒙空
希斯罗,NR,LOC,*,希斯罗
希特勒,NR,PER,FOR,希特勒
希望,NN,*,*,希望
希望,VV,*,*,希望
希伟,NR,PER,GIV,希伟
希族人,NN,*,*,希族人
希翎,NR,PER,GIV,希翎
悉,AD,*,*,悉
悉尼,NR,LOC,*,悉尼
悉心,AD,*,*,悉心
膝部,NN,*,*,膝部
夕,NN,*,*,夕
夕阳,NN,*,*,夕阳
惜,AD,*,*,惜
惜,VV,*,*,惜
熄灭,VV,*,*,熄灭
溪,NN,*,*,溪
溪谷,NN,*,*,溪谷
溪口,NN,*,*,溪口
溪流,NN,*,*,溪流
袭击,NN,*,*,袭击
袭击,VV,*,*,袭击
袭来,VV,*,*,袭来
袭取,VV,*,*,袭取
袭扰,NN,*,*,袭扰
席,M,*,*,席
席,NN,*,*,席
席次,NN,*,*,席次
席尔瓦,NR,PER,FOR,席尔瓦
席卷,VV,*,*,席卷
席位,NN,*,*,席位
习,AD,*,*,习
习惯,NN,*,*,习惯
习惯,VA,*,*,习惯
习惯,VV,*,*,习惯
习惯于,VV,*,*,习惯于
习画,VV,*,*,习画
习良,NR,PER,GIV,习良
习气,NN,*,*,习气
习俗,NN,*,*,习俗
习题,NN,*,*,习题
习性,NN,*,*,习性
媳妇,NN,*,*,媳妇
喜,AD,*,*,喜
喜,NN,*,*,喜
喜,VA,*,*,喜
喜,VV,*,*,喜
喜爱,VV,*,*,喜爱
喜宾席,NN,*,*,喜宾席
喜感,NN,*,*,喜感
喜好,NN,*,*,喜好
喜好,VV,*,*,喜好
喜欢,VV,*,*,喜欢
喜剧,NN,*,*,喜剧
喜怒哀乐,NN,*,*,喜怒哀乐
喜气,NN,*,*,喜气
喜气洋洋,VV,*,*,喜气洋洋
喜庆,VV,*,*,喜庆
喜人,VA,*,*,喜人
喜讯,NN,*,*,喜讯
喜一,NR,PER,GIV,喜一
喜忧参半,VV,*,*,喜忧参半
喜悦,NN,*,*,喜悦
洗,NN,*,*,洗
洗,VV,*,*,洗
洗尘,NN,*,*,洗尘
洗涤剂,NN,*,*,洗涤剂
洗发精,NN,*,*,洗发精
洗劫,NN,*,*,洗劫
洗礼,NN,*,*,洗礼
洗礼,VV,*,*,洗礼
洗脑,NN,*,*,洗脑
洗牌,NN,*,*,洗牌
洗牌,VV,*,*,洗牌
洗手槽,NN,*,*,洗手槽
洗淘,VV,*,*,洗淘
洗衣,NN,*,*,洗衣
洗衣粉,NN,*,*,洗衣粉
洗衣机,NN,*,*,洗衣机
洗衣网,NN,*,*,洗衣网
系,NN,*,*,系
系,VC,*,*,系
系,VV,*,*,系
系泊,VV,*,*,系泊
系列,M,*,*,系列
系列,NN,*,*,系列
系列化,NN,*,*,系列化
系列化,VV,*,*,系列化
系列赛,NN,*,*,系列赛
系统,JJ,*,*,系统
系统,NN,*,*,系统
系统,VA,*,*,系统
系统化,VV,*,*,系统化
系统式,JJ,*,*,系统式
系统性,JJ,*,*,系统性
系统性,NN,*,*,系统性
系狱,VV,*,*,系狱
系於,VV,*,*,系於
戏,NN,*,*,戏
戏,VV,*,*,戏
戏称,VV,*,*,戏称
戏剧,NN,*,*,戏剧
戏剧集,NN,*,*,戏剧集
戏剧家,NN,*,*,戏剧家
戏剧节,NN,*,*,戏剧节
戏剧团,NN,*,*,戏剧团
戏曲,NN,*,*,戏曲
戏耍,VV,*,*,戏耍
戏约,NN,*,*,戏约
戏谑,VA,*,*,戏谑
细,JJ,*,*,细
细,VA,*,*,细
细胞,NN,*,*,细胞
细部,NN,*,*,细部
细处,NN,*,*,细处
细格,NN,*,*,细格
细化,NN,*,*,细化
细节,NN,*,*,细节
细菌,NN,*,*,细菌
细粒,JJ,*,*,细粒
细流,NN,*,*,细流
细密,VA,*,*,细密
细腻,JJ,*,*,细腻
细腻,VA,*,*,细腻
细柔,VA,*,*,细柔
细纱机,NN,*,*,细纱机
细数,VV,*,*,细数
细微,VA,*,*,细微
细微处,NN,*,*,细微处
细细,AD,*,*,细细
细雨,NN,*,*,细雨
细则,NN,*,*,细则
细致,VA,*,*,细致
瞎拼,VV,*,*,瞎拼
虾,NN,*,*,虾
虾蟹壳,NN,*,*,虾蟹壳
霞,NN,*,*,霞
霞,NR,PER,GIV,霞
霞琴,NR,PER,GIV,霞琴
霞塘,NR,LOC,*,霞塘
辖,NN,*,*,辖
辖,VV,*,*,辖
辖区,NN,*,*,辖区
峡谷,NN,*,*,峡谷
狭碍,VA,*,*,狭碍
狭隘,VA,*,*,狭隘
狭长,AD,*,*,狭长
狭长,VA,*,*,狭长
狭小,VA,*,*,狭小
狭义,JJ,*,*,狭义
狭窄,VA,*,*,狭窄
下,DT,*,*,下
下,LC,*,*,下
下,M,*,*,下
下,NN,*,*,下
下,VV,*,*,下
下班,VV,*,*,下班
下半年,NT,NOR,*,下半年
下部,NN,*,*,下部
下挫,VV,*,*,下挫
下达,VV,*,*,下达
下单,VV,*,*,下单
下档,VV,*,*,下档
下调,VV,*,*,下调
下跌,NN,*,*,下跌
下跌,VV,*,*,下跌
下跌股,NN,*,*,下跌股
下定,VV,*,*,下定
下肚,VV,*,*,下肚
下发,VV,*,*,下发
下方,NN,*,*,下方
下放,VV,*,*,下放
下风,NN,*,*,下风
下岗,NN,*,*,下岗
下岗,VV,*,*,下岗
下港,NN,*,*,下港
下杠,VV,*,*,下杠
下功夫,VV,*,*,下功夫
下海,VV,*,*,下海
下滑,VV,*,*,下滑
下降,NN,*,*,下降
下降,VV,*,*,下降
下街,NR,LOC,*,下街
下课,NN,*,*,下课
下来,VV,*,*,下来
下列,JJ,*,*,下列
下令,VV,*,*,下令
下流,JJ,*,*,下流
下楼,VV,*,*,下楼
下落不明,VV,*,*,下落不明
下面,NN,*,*,下面
下篇,NN,*,*,下篇
下铺,NN,*,*,下铺
下起,VV,*,*,下起
下切,VV,*,*,下切
下去,VV,*,*,下去
下沙,NN,*,*,下沙
下山,NR,PER,FAM,下山
下山,VV,*,*,下山
下市,VV,*,*,下市
下属,VV,*,*,下属
下水,VV,*,*,下水
下水道,NN,*,*,下水道
下台,VV,*,*,下台
下图,NN,*,*,下图
下午,NT,NOR,*,下午
下陷,NN,*,*,下陷
下陷,VV,*,*,下陷
下线,NN,*,*,下线
下泻,VV,*,*,下泻
下雪,VV,*,*,下雪
下旬,NN,*,*,下旬
下旬,NT,NOR,*,下旬
下一步,AD,*,*,下一步
下营,NR,LOC,*,下营
下游,NN,*,*,下游
下游厂,NN,*,*,下游厂
下游段,NN,*,*,下游段
下雨,VV,*,*,下雨
下院,NN,*,*,下院
下肢,NN,*,*,下肢
下种,VV,*,*,下种
下榻,VV,*,*,下榻
下罟子,NR,LOC,*,下罟子
厦航,NR,ORG,*,厦航
厦华,NR,ORG,*,厦华
厦门,NR,LOC,*,厦门
厦门港,NR,LOC,*,厦门港
厦门街,NR,LOC,*,厦门街
厦门市,NR,LOC,*,厦门市
厦漳,NR,LOC,*,厦漳
夏,NR,PER,FAM,夏
夏,VV,*,*,夏
夏季,NN,*,*,夏季
夏季,NT,NOR,*,夏季
夏利,NR,ORG,*,夏利
夏普,NR,ORG,*,夏普
夏日,NN,*,*,夏日
夏天,NT,NOR,*,夏天
夏威夷,NR,LOC,*,夏威夷
夏悫道,NR,LOC,*,夏悫道
吓,VV,*,*,吓
吓大,VV,*,*,吓大
吓坏,VV,*,*,吓坏
吓阻,NN,*,*,吓阻
吓阻,VV,*,*,吓阻
掀开,VV,*,*,掀开
掀起,VV,*,*,掀起
先,AD,*,*,先
先,NN,*,*,先
先,VV,*,*,先
先导,NN,*,*,先导
先发,NR,PER,GIV,先发
先锋,NN,*,*,先锋
先夫,NN,*,*,先夫
先国,NR,PER,GIV,先国
先河,NN,*,*,先河
先后,AD,*,*,先后
先机,NN,*,*,先机
先进,JJ,*,*,先进
先进,VA,*,*,先进
先决,JJ,*,*,先决
先例,NN,*,*,先例
先烈,NN,*,*,先烈
先灵葆雅,NR,ORG,*,先灵葆雅
先令,NN,*,*,先令
先民,NN,*,*,先民
先民们,NN,*,*,先民们
先期,AD,*,*,先期
先前,AD,*,*,先前
先前,JJ,*,*,先前
先驱,JJ,*,*,先驱
先仁,NR,PER,GIV,先仁
先人,NN,*,*,先人
先生,NN,*,*,先生
先生们,NN,*,*,先生们
先施,NR,ORG,*,先施
先手,AD,*,*,先手
先手,NN,*,*,先手
先天,JJ,*,*,先天
先天,NN,*,*,先天
先天不足,VV,*,*,先天不足
先贤,NN,*,*,先贤
先行,AD,*,*,先行
先行,NN,*,*,先行
先易后难,VV,*,*,先易后难
先兆,NN,*,*,先兆
先知,NN,*,*,先知
先知先觉,NN,*,*,先知先觉
先制,JJ,*,*,先制
先後,AD,*,*,先後
仙妮雷德,NR,ORG,*,仙妮雷德
仙女,NN,*,*,仙女
仙人,NN,*,*,仙人
仙石原,NR,LOC,*,仙石原
仙游,NR,LOC,*,仙游
鲜花,NN,*,*,鲜花
鲜活,JJ,*,*,鲜活
鲜活,NN,*,*,鲜活
鲜京,NR,ORG,*,鲜京
鲜明,JJ,*,*,鲜明
鲜明,VA,*,*,鲜明
鲜奶,NN,*,*,鲜奶
鲜少,AD,*,*,鲜少
纤夫,NN,*,*,纤夫
纤手,NN,*,*,纤手
纤维,NN,*,*,纤维
纤维所,NN,*,*,纤维所
咸认,VV,*,*,咸认
咸儒,NR,PER,GIV,咸儒
贤良,JJ,*,*,贤良
衔,NN,*,*,衔
衔,VV,*,*,衔
衔接,NN,*,*,衔接
衔接,VV,*,*,衔接
闲,VV,*,*,闲
闲步,AD,*,*,闲步
闲静,VA,*,*,闲静
闲聊,VV,*,*,闲聊
闲适,VA,*,*,闲适
闲谈,NN,*,*,闲谈
闲暇,NN,*,*,闲暇
闲闲,VV,*,*,闲闲
闲章,NN,*,*,闲章
弦和,NR,PER,GIV,弦和
弦月,NN,*,*,弦月
弦月,NR,OTH,*,弦月
嫌,VV,*,*,嫌
嫌隙,NN,*,*,嫌隙
嫌疑,NN,*,*,嫌疑
显,AD,*,*,显
显,VV,*,*,显
显比,NR,PER,GIV,显比
显出,VV,*,*,显出
显达,NR,PER,GIV,显达
显得,VV,*,*,显得
显而易见,VV,*,*,显而易见
显赫,JJ,*,*,显赫
显赫,VA,*,*,显赫
显径,NR,LOC,*,显径
显露,VV,*,*,显露
显然,AD,*,*,显然
显色,VV,*,*,显色
显示,NN,*,*,显示
显示,VV,*,*,显示
显示管,NN,*,*,显示管
显示屏,NN,*,*,显示屏
显示器,NN,*,*,显示器
显微镜,NN,*,*,显微镜
显现,NN,*,*,显现
显现,VV,*,*,显现
显像,NN,*,*,显像
显像管,NN,*,*,显像管
显著,AD,*,*,显著
显著,JJ,*,*,显著
显著,NN,*,*,显著
显著,VA,*,*,显著
显著,VV,*,*,显著
险,AD,*,*,险
险,JJ,*,*,险
险,NN,*,*,险
险地,NN,*,*,险地
险峰,NN,*,*,险峰
险峻,VA,*,*,险峻
险情,NN,*,*,险情
险种,NN,*,*,险种
险阻,NN,*,*,险阻
现,AD,*,*,现
现,JJ,*,*,现
现,NT,NOR,*,现
现,VV,*,*,现
现场,NN,*,*,现场
现成,JJ,*,*,现成
现存,JJ,*,*,现存
现代,JJ,*,*,现代
现代,NN,*,*,现代
现代,NR,ORG,*,现代
现代,NT,NOR,*,现代
现代版,NN,*,*,现代版
现代感,NN,*,*,现代感
现代化,JJ,*,*,现代化
现代化,NN,*,*,现代化
现代化,VA,*,*,现代化
现代化,VV,*,*,现代化
现代人,NN,*,*,现代人
现代式,JJ,*,*,现代式
现汇,JJ,*,*,现汇
现汇,NN,*,*,现汇
现金,NN,*,*,现金
现今,AD,*,*,现今
现今,NT,NOR,*,现今
现勘,VV,*,*,现勘
现况,NN,*,*,现况
现年,NN,*,*,现年
现任,JJ,*,*,现任
现任,VV,*,*,现任
现身,VV,*,*,现身
现时,AD,*,*,现时
现时,NT,NOR,*,现时
现实,JJ,*,*,现实
现实,NN,*,*,现实
现实,VA,*,*,现实
现象,NN,*,*,现象
现行,JJ,*,*,现行
现役,JJ,*,*,现役
现有,JJ,*,*,现有
现在,NN,*,*,现在
现在,NT,NOR,*,现在
现职,NN,*,*,现职
现状,NN,*,*,现状
献,VV,*,*,献
献出,VV,*,*,献出
献辞,NN,*,*,献辞
献煌,NR,PER,GIV,献煌
献上,VV,*,*,献上
献身,JJ,*,*,献身
献身,VV,*,*,献身
献文,NR,PER,GIV,献文
献血,VV,*,*,献血
县,NN,*,*,县
县长,NN,*,*,县长
县城,NN,*,*,县城
县道,NN,*,*,县道
县分,NN,*,*,县分
县级,JJ,*,*,县级
县级,NN,*,*,县级
县市,NN,*,*,县市
县委,NN,*,*,县委
县议员,NN,*,*,县议员
县政府,NN,*,*,县政府
县支行,NN,*,*,县支行
县志,NN,*,*,县志
羡,VV,*,*,羡
宪,NN,*,*,宪
宪报,NN,*,*,宪报
宪法,NN,*,*,宪法
宪改,NN,*,*,宪改
宪宏,NR,PER,GIV,宪宏
宪章,NN,*,*,宪章
宪政,NN,*,*,宪政
宪政史,NN,*,*,宪政史
宪梓,NR,PER,GIV,宪梓
陷,VV,*,*,陷
陷到,VV,*,*,陷到
陷入,VV,*,*,陷入
陷阱,NN,*,*,陷阱
限,NN,*,*,限
限,VV,*,*,限
限定,VV,*,*,限定
限度,NN,*,*,限度
限额,NN,*,*,限额
限量,AD,*,*,限量
限期,NN,*,*,限期
限期,VV,*,*,限期
限于,VV,*,*,限于
限制,NN,*,*,限制
限制,VV,*,*,限制
限於,VV,*,*,限於
线,M,*,*,线
线,NN,*,*,线
线材厂,NN,*,*,线材厂
线路,NN,*,*,线路
线圈,NN,*,*,线圈
线上,NN,*,*,线上
线索,NN,*,*,线索
线条,NN,*,*,线条
线团,NN,*,*,线团
相,AD,*,*,相
相伴,VV,*,*,相伴
相比,VV,*,*,相比
相兵,NR,PER,GIV,相兵
相差,VV,*,*,相差
相差无几,VV,*,*,相差无几
相持,VV,*,*,相持
相处,NN,*,*,相处
相传,VV,*,*,相传
相当,AD,*,*,相当
相当,JJ,*,*,相当
相当,VA,*,*,相当
相当,VV,*,*,相当
相当于,VV,*,*,相当于
相当於,VV,*,*,相当於
相等於,VV,*,*,相等於
相抵,VV,*,*,相抵
相对,AD,*,*,相对
相对,JJ,*,*,相对
相对,P,*,*,相对
相对,VA,*,*,相对
相对於,P,*,*,相对於
相对於,VV,*,*,相对於
相反,AD,*,*,相反
相反,JJ,*,*,相反
相反,VA,*,*,相反
相仿,VA,*,*,相仿
相仿,VV,*,*,相仿
相逢,VV,*,*,相逢
相符,VV,*,*,相符
相辅相成,VV,*,*,相辅相成
相隔,VV,*,*,相隔
相关,JJ,*,*,相关
相关,VA,*,*,相关
相关,VV,*,*,相关
相互,AD,*,*,相互
相互,JJ,*,*,相互
相互,PN,*,*,相互
相机,NN,*,*,相机
相继,AD,*,*,相继
相继,JJ,*,*,相继
相煎,NN,*,*,相煎
相交,VV,*,*,相交
相较,VV,*,*,相较
相较之下,AD,*,*,相较之下
相较於,VV,*,*,相较於
相接,VV,*,*,相接
相近,VA,*,*,相近
相近,VV,*,*,相近
相距甚远,VV,*,*,相距甚远
相看两不厌,VV,*,*,相看两不厌
相连,VV,*,*,相连
相龙,NR,PER,GIV,相龙
相貌,PN,*,*,相貌
相扑,NN,*,*,相扑
相扑界,NN,*,*,相扑界
相亲,VV,*,*,相亲
相去,VV,*,*,相去
相认,VV,*,*,相认
相容,VA,*,*,相容
相容,VV,*,*,相容
相声,NN,*,*,相声
相思树,NN,*,*,相思树
相似,VA,*,*,相似
相似,VV,*,*,相似
相提并论,VV,*,*,相提并论
相通,VV,*,*,相通
相同,JJ,*,*,相同
相同,VA,*,*,相同
相望,VV,*,*,相望
相惜,NN,*,*,相惜
相信,VV,*,*,相信
相沿,VV,*,*,相沿
相扬,NR,PER,GIV,相扬
相依,VV,*,*,相依
相依为伴,VV,*,*,相依为伴
相应,AD,*,*,相应
相应,JJ,*,*,相应
相应,VA,*,*,相应
相应,VV,*,*,相应
相映成辉,VV,*,*,相映成辉
相约,VV,*,*,相约
相知,NN,*,*,相知
相中,VV,*,*,相中
相助,NN,*,*,相助
相助,VV,*,*,相助
相撞,NN,*,*,相撞
相撞,VV,*,*,相撞
厢房,NN,*,*,厢房
镶空,JJ,*,*,镶空
镶嵌,NN,*,*,镶嵌
香,NN,*,*,香
香肠,NN,*,*,香肠
香港,NR,LOC,*,香港
香港队,NR,OTH,*,香港队
香港剧,NN,*,*,香港剧
香港人,NN,*,*,香港人
香港仔,NR,LOC,*,香港仔
香菇头,NN,*,*,香菇头
香花园,NN,*,*,香花园
香化,NN,*,*,香化
香江,NR,LOC,*,香江
香蕉,NN,*,*,香蕉
香精,NN,*,*,香精
香君,NR,PER,GIV,香君
香料,NN,*,*,香料
香料厂,NN,*,*,香料厂
香奈儿,NR,OTH,*,香奈儿
香片,NN,*,*,香片
香气,NN,*,*,香气
香水,NN,*,*,香水
香甜,VA,*,*,香甜
香味,NN,*,*,香味
香烟,NN,*,*,香烟
香烟盒,NN,*,*,香烟盒
香油,NN,*,*,香油
香玉,NR,PER,GIV,香玉
香妃,NN,*,*,香妃
香柚,NN,*,*,香柚
箱,M,*,*,箱
箱,NN,*,*,箱
箱根,NR,LOC,*,箱根
襄军,NR,PER,GIV,襄军
襄渝,NR,LOC,*,襄渝
湘江,NR,LOC,*,湘江
湘潭,NR,LOC,*,湘潭
湘乡,NR,LOC,*,湘乡
乡,NN,*,*,乡
乡长,NN,*,*,乡长
乡愁,NN,*,*,乡愁
乡村,NN,*,*,乡村
乡公所,NN,*,*,乡公所
乡间,NN,*,*,乡间
乡里,NN,*,*,乡里
乡林,NR,ORG,*,乡林
乡民,NN,*,*,乡民
乡民们,NN,*,*,乡民们
乡亲,NN,*,*,乡亲
乡亲报,NN,*,*,乡亲报
乡人,NN,*,*,乡人
乡史,NN,*,*,乡史
乡土,NN,*,*,乡土
乡土风,NN,*,*,乡土风
乡土剧,NN,*,*,乡土剧
乡下,NN,*,*,乡下
乡镇,NN,*,*,乡镇
乡镇级,NN,*,*,乡镇级
乡志,NN,*,*,乡志
翔,NR,PER,GIV,翔
翔飞,NR,PER,GIV,翔飞
翔钟,NR,PER,GIV,翔钟
祥,NR,PER,GIV,祥
祥和,VA,*,*,祥和
祥林,NR,PER,GIV,祥林
祥鹏,NR,PER,GIV,祥鹏
详,VA,*,*,详
详尽,AD,*,*,详尽
详尽,VA,*,*,详尽
详情,NN,*,*,详情
详谈,NN,*,*,详谈
详细,AD,*,*,详细
详细,JJ,*,*,详细
详细,VA,*,*,详细
详讯,NN,*,*,详讯
想,VV,*,*,想
想必,AD,*,*,想必
想到,VV,*,*,想到
想对,VV,*,*,想对
想法,NN,*,*,想法
想见,VV,*,*,想见
想尽,VV,*,*,想尽
想起,VV,*,*,想起
想望,NN,*,*,想望
想想,VV,*,*,想想
想像,NN,*,*,想像
想像,VV,*,*,想像
想象,NN,*,*,想象
想象,VV,*,*,想象
想要,VV,*,*,想要
响,NN,*,*,响
响,VV,*,*,响
响当当,VA,*,*,响当当
响当当,VV,*,*,响当当
响亮,VA,*,*,响亮
响马,NN,*,*,响马
响起,VV,*,*,响起
响应,NN,*,*,响应
响应,VV,*,*,响应
享,VV,*,*,享
享负,VV,*,*,享负
享乐,VV,*,*,享乐
享年,VV,*,*,享年
享食,VV,*,*,享食
享受,NN,*,*,享受
享受,VV,*,*,享受
享用,VV,*,*,享用
享有,VV,*,*,享有
享誉,VV,*,*,享誉
项,M,*,*,项
项,NN,*,*,项
项,NR,PER,FAM,项
项链,NN,*,*,项链
项目,NN,*,*,项目
项目库,NN,*,*,项目库
项圈,NN,*,*,项圈
巷,M,*,*,巷
巷,NN,*,*,巷
橡胶,NN,*,*,橡胶
橡木,NN,*,*,橡木
橡皮,NN,*,*,橡皮
像,AD,*,*,像
像,NN,*,*,像
像,P,*,*,像
像,VV,*,*,像
像是,AD,*,*,像是
像是,P,*,*,像是
向,NN,*,*,向
向,P,*,*,向
向,VV,*,*,向
向导,NN,*,*,向导
向东,NR,PER,GIV,向东
向来,AD,*,*,向来
向明,NR,PER,OTH,向明
向前,AD,*,*,向前
向前,VV,*,*,向前
向日葵,NN,*,*,向日葵
向上,AD,*,*,向上
向上,VV,*,*,向上
向外,AD,*,*,向外
向往,VV,*,*,向往
向下,AD,*,*,向下
向心力,NN,*,*,向心力
向阳,NR,ORG,*,向阳
向源,JJ,*,*,向源
向著,P,*,*,向著
向着,P,*,*,向着
象,NN,*,*,象
象,P,*,*,象
象,VA,*,*,象
象光,NR,PER,GIV,象光
象棋,NN,*,*,象棋
象山,NR,ORG,*,象山
象神,NR,OTH,*,象神
象牙塔,NN,*,*,象牙塔
象征,VV,*,*,象征
象徵,JJ,*,*,象徵
象徵,NN,*,*,象徵
象徵,VV,*,*,象徵
象徵式,JJ,*,*,象徵式
象徵性,NN,*,*,象徵性
萧,NR,PER,FAM,萧
萧山,NR,ORG,*,萧山
萧条,NN,*,*,萧条
萧条,VA,*,*,萧条
硝烟,NN,*,*,硝烟
削,VV,*,*,削
削价,VV,*,*,削价
削减,VV,*,*,削减
削去,VV,*,*,削去
削弱,NN,*,*,削弱
削弱,VV,*,*,削弱
削岩机,NN,*,*,削岩机
销,NN,*,*,销
销,VV,*,*,销
销毁,VV,*,*,销毁
销货,NN,*,*,销货
销路,NN,*,*,销路
销声匿迹,VV,*,*,销声匿迹
销售,NN,*,*,销售
销售,VV,*,*,销售
销售处,NN,*,*,销售处
销售额,NN,*,*,销售额
销售量,NN,*,*,销售量
销售率,NN,*,*,销售率
销售业,NN,*,*,销售业
销售一空,VV,*,*,销售一空
销往,VV,*,*,销往
消,VV,*,*,消
消长,NN,*,*,消长
消长互见,VV,*,*,消长互见
消除,VV,*,*,消除
消毒,NN,*,*,消毒
消防队,NN,*,*,消防队
消防队员,NN,*,*,消防队员
消费,NN,*,*,消费
消费,VV,*,*,消费
消费额,NN,*,*,消费额
消费观,NN,*,*,消费观
